Date,"M4: % Ice Concentration at 57.9N, -168.88E","M5: % Ice Concentration at 59.91N, -171.73E","M8: % Ice Concentration at 62.19N, -174.67E"
1850,9,33,50
1851,3,20,37
1852,1,16,33
1853,1,16,33
1854,7,27,45
1855,8,27,47
1856,8,28,55
1857,7,27,58
1858,18,52,69
1859,18,58,71
1860,20,53,64
1861,17,52,66
1862,18,58,71
1863,8,37,54
1864,20,53,64
1865,18,58,71
1866,8,36,53
1867,8,36,53
1868,10,43,62
1869,8,37,54
1870,0,25,38
1871,17,33,45
1872,19,44,57
1873,13,29,41
1874,19,45,59
1875,19,45,59
1876,21,43,56
1877,22,44,55
1878,21,43,56
1879,10,18,42
1880,21,43,56
1881,18,34,47
1882,21,43,56
1883,19,45,59
1884,21,43,56
1885,19,45,59
1886,21,43,56
1887,21,43,56
1888,19,37,51
1889,13,28,51
1890,21,43,56
1891,21,43,56
1892,21,43,56
1893,19,45,59
1894,21,43,56
1895,19,45,59
1896,6,22,38
1897,21,43,56
1898,21,43,56
1899,21,43,56
1900,21,43,56
1901,11,30,43
1902,7,30,42
1903,8,28,40
1904,19,42,53
1905,16,38,50
1906,19,45,59
1907,16,42,51
1908,12,31,46
1909,21,43,56
1910,13,33,51
1911,17,31,46
1912,19,45,59
1913,19,45,59
1914,16,35,43
1915,14,34,46
1916,19,45,59
1917,12,31,42
1918,14,28,40
1919,21,43,56
1920,21,43,56
1921,16,42,51
1922,19,45,59
1923,10,34,52
1924,15,34,48
1925,14,47,67
1926,10,31,42
1927,12,31,42
1928,19,45,59
1929,8,25,45
1930,15,45,62
1931,17,37,59
1932,19,42,55
1933,15,45,62
1934,21,45,57
1935,11,25,41
1936,18,45,63
1937,23,43,56
1938,19,42,55
1939,12,39,53
1940,14,48,71
1941,3,10,36
1942,3,10,36
1943,12,37,60
1944,20,46,68
1945,13,37,56
1946,19,42,55
1947,19,45,59
1948,12,36,48
1949,19,45,59
1950,19,45,59
1951,19,43,56
1952,21,42,53
1953,9,44,67
1954,28,47,57
1955,18,46,57
1956,25,53,81
1957,35,58,87
1958,32,42,56
1959,22,29,18
1960,7,48,78
1961,7,39,54
1962,0,4,10
1963,16,20,57
1964,6,54,74
1965,22,50,68
1966,0,27,47
1967,7,41,41
1968,6,19,33
1969,0,20,23
1970,0,30,73
1971,21,51,55
1972,0,29,58
1973,8,31,43
1974,13,35,58
1975,19,71,89
1976,47,76,89
1977,12,78,90
1978,0,22,33
1979,0,0,16
1980,17,43,54
1981,8,45,73
1982,0,14,40
1983,11,34,47
1984,0,19,29
1985,0,0,19
1986,8,18,29
1987,0,15,43
1988,0,0,58
1989,24,46,83
1990,0,30,69
1991,6,25,64
1992,12,43,76
1993,26,44,71
1994,5,27,55
1995,23,53,76
1996,0,8,31
1997,15,30,30
1998,25,51,78
1999,0,28,78
2000,92,86,93
2001,0,0,42
2002,22,85,83
2003,0,11,8
2004,0,0,5
2005,0,0,35
2006,0,22,59
2007,0,28,63
2008,0,31,72
2009,67,80,90
2010,6,37,63
2011,0,27,62
2012,0,24,90
2013,0,18,89
2014,0,0,66
2015,0,0,0
2016,0,0,33
2017,0,0,0
2018,0,0,0