"year","south.sst.ndjfm","south.sst.amj","north.sst.ndjfm","north.sst.amj","AO.jfm","SE.wind.Oct.Apr","NW.wind.Oct.Apr","SE.wind.May.Sep","NW.wind.May.Sep"
1951,0.562546858964143,1.11727119227986,-1.54745385402983,-1.5886683030562,-0.805,0.159326311169629,0.104772876892693,0.144301075268817,0.0913978494623656
1952,1.28656132706889,1.13550135953191,-1.35133865800771,-1.49721614880995,-1.08066666666667,0.193315323904868,0.22493776153398,0.203440860215054,0.209032258064516
1953,0.985918563162839,2.69574746931041,-1.60139673406428,-0.764500162818215,-0.073,0.188457318411235,0.131742374369102,0.210322580645161,0.156129032258065
1954,0.897759750154283,2.37541499329202,-1.50360445813699,-0.254071604121815,0.049,0.18898398068905,0.164274742154926,0.124516129032258,0.207956989247312
1955,1.05501024502295,1.76163639992843,-1.5212989799001,-0.665141820907593,-1.42333333333333,0.195918367346939,0.102797893350889,0.23505376344086,0.164301075268817
1956,0.494004276063707,2.43506847929071,-1.61316108839078,0.681026079437949,-0.92,0.243535144869961,0.121987393400074,0.261505376344086,0.158064516129032
1957,0.571386767316748,3.20330281684428,-1.77518493912437,0.430734945066047,-0.486666666666667,0.13010752688172,0.184342769365811,0.176344086021505,0.129677419354839
1958,1.80405536293983,3.37707092585387,-0.611222902211276,1.72621550885114,-2.06333333333333,0.122865920561773,0.155058152293175,0.22752688172043,0.104731182795699
1959,0.976729660122483,2.23279522285785,-1.59093573310158,-0.972500042481856,0.653333333333333,0.163748079877112,0.147048496818082,0.288817204301075,0.118279569892473
1960,1.25378346986793,2.52191508772932,-1.26437643495473,1.0237563270511,-2.10333333333333,0.12276603633667,0.136940515917157,0.281720430107527,0.143010752688172
1961,1.27556737727589,2.46349670783973,-1.64811362353238,-0.239233880332022,-0.182666666666667,0.184189159534782,0.149615975422427,0.163440860215054,0.182365591397849
1962,1.35408002005683,1.73412681840084,-1.60158605033701,-0.439758342323881,-0.522666666666667,0.150109721307878,0.170945797673908,0.308602150537634,0.221505376344086
1963,1.29833475130576,2.20999919475965,-1.46319884766232,0.449730609402512,-1.43533333333333,0.173985077902129,0.139697169190257,0.22989247311828,0.143655913978495
1964,1.36136921114392,2.46903719283916,-1.64314615401355,-1.53420086701711,-0.249333333333333,0.226834048413581,0.131039779649346,0.208817204301075,0.20258064516129
1965,1.1434530682034,2.0703532335199,-1.69919511296532,-0.589890165762468,-1.345,0.184529295589203,0.126486723721747,0.15010752688172,0.19010752688172
1966,1.64705872447402,2.63110060861081,-1.61303304650567,0.226646703301054,-1.86033333333333,0.140004388852315,0.142933947772657,0.274838709677419,0.13741935483871
1967,1.49652590155602,4.18136892863262,-1.08433925319802,2.24278758962949,0.858,0.159359227561993,0.218268597761685,0.183225806451613,0.137849462365591
1968,1.46820042056066,2.63040258910185,-1.23937452272935,0.204940649596128,-0.273,0.178844218443773,0.129964510832142,0.198279569892473,0.180860215053763
1969,1.42118578807071,2.62235126377624,-1.24105647531423,0.513621308586814,-2.55333333333333,0.127781435154707,0.192264647794602,0.202150537634409,0.151397849462366
1970,1.77239811420441,2.56718877436202,-1.68297759457068,0.522345556454225,-1.94,0.117390827298661,0.126826859776169,0.214838709677419,0.163225806451613
1971,1.47001448814516,0.885219441151913,-1.5196837219325,-0.630507888215961,-0.725,0.17512617950406,0.1220320386219,0.242365591397849,0.150537634408602
1972,0.77620581443663,1.15203030756962,-1.39764667749405,0.558001192230167,-0.0563333333333333,0.173139467132793,0.141363419672652,0.144516129032258,0.209247311827957
1973,1.3007279496502,1.88921979272071,-1.28262225443667,-0.189798519466863,0.851,0.227079218784288,0.16395655036208,0.209677419354839,0.169677419354839
1974,1.51984624796444,2.46389971066404,-1.19890171397816,1.03404155825124,-0.334333333333333,0.214461268378319,0.1504498573623,0.211612903225806,0.208172043010753
1975,1.43815466827816,1.70232974710288,-1.26220083724369,0.338624589370959,0.645,0.19900153609831,0.128648233486943,0.22989247311828,0.123870967741935
1976,0.926989727108567,1.35432497402768,-1.37822498191487,-0.0839343495441206,0.760433333333333,0.243995974363049,0.0894115154404365,0.189462365591398,0.247096774193548
1977,1.86359019213253,2.6005080209838,-0.847936245528134,0.235160769838275,-1.812,0.155244678516568,0.0719003730524468,0.236559139784946,0.149247311827957
1978,1.98267712085335,3.56282501529764,-1.37277059663426,1.36011485981219,-0.951666666666667,0.0976958525345622,0.208711871845512,0.183440860215054,0.221290322580645
1979,2.49766665145203,3.94597607593477,-0.937459573420611,1.63945321422635,-1.247,0.0884792626728111,0.252128593372833,0.0849462365591398,0.215698924731183
1980,1.9716768487736,2.7731766268427,-0.728200907056982,0.685135221842563,-1.478,0.165490756925685,0.116621643095503,0.175698924731183,0.17741935483871
1981,1.74620309207175,4.44933148887422,-1.08798738284545,1.53353615782478,-0.696,0.142593811718236,0.131928900592495,0.210322580645161,0.129462365591398
1982,2.05461041750731,2.39969588760976,-1.1201969536868,0.596695894544775,0.387,0.207164801404433,0.176673249945139,0.118064516129032,0.234838709677419
1983,1.66089615380322,3.7763807821421,-1.27974437583577,0.846719021146948,-0.339,0.101996927803379,0.14596225587009,0.14989247311828,0.104086021505376
1984,2.29558483273895,2.95518373339264,-1.06167689236728,0.94172085053993,-0.596,0.147068170983633,0.134562211981567,0.17505376344086,0.106236559139785
1985,2.73862657524921,1.94152179581148,-1.13446197618138,-0.0766640151991989,-1.233,0.178527540048277,0.131709457976739,0.137849462365591,0.150752688172043
1986,2.24127877244243,2.70328111928186,-0.932777775417675,1.21835682428244,-0.512666666666667,0.192604783849023,0.223337722185648,0.110537634408602,0.215913978494624
1987,2.75735578934352,3.44832820472894,-1.28377256826921,-0.157757956873287,-1.45666666666667,0.084825543120474,0.207384244020189,0.249247311827957,0.156989247311828
1988,2.24032833708657,2.86372999423816,-1.11242952671918,1.32080592621456,-0.334,0.192822713067429,0.153631018592086,0.17010752688172,0.228172043010753
1989,1.7054702312858,3.12135954035653,-1.09693579511209,1.39211809996403,2.64,0.14900153609831,0.184090410357691,0.124516129032258,0.149247311827957
1990,1.78981044182071,3.26841864284174,-0.646095258539373,0.742608930125381,2.46333333333333,0.150296247531271,0.103138029405311,0.164301075268817,0.278924731182796
1991,1.89337618439286,2.66527420944638,-0.878320794755762,0.3699521196611,-0.226666666666667,0.189137590520079,0.116008338819399,0.215698924731183,0.0778494623655914
1992,2.02793793214692,2.92627311267971,-0.514540675553409,0.33839103308591,0.884666666666667,0.15505588219715,0.146453731659516,0.163010752688172,0.144086021505376
1993,1.69566713681927,3.70471251893927,-1.15536005171863,0.869331403212114,1.483,0.132082510423524,0.156265086679833,0.14494623655914,0.129677419354839
1994,2.59957925920133,3.41440218171956,-0.893672375245528,1.82671182805842,0.243333333333333,0.196499890278692,0.175499231950845,0.19010752688172,0.124086021505376
1995,1.67179044948684,2.67152986703096,-1.41820652322336,0.958786469517332,0.556333333333333,0.249659863945578,0.123173140223831,0.20258064516129,0.117849462365591
1996,2.3161468801675,3.60165517602438,-1.21266728856347,1.72650663870754,-0.839,0.103554213676572,0.182880449176333,0.190752688172043,0.189247311827957
1997,1.98002392848333,3.64210212800974,-0.677436745166779,1.4812819740989,0.841,0.164614878209348,0.156385780118499,0.151182795698925,0.201075268817204
1998,1.95675406411842,3.2578195889055,-0.657618245211515,-0.0611159456047145,-0.839,0.108514373491332,0.10817423743691,0.208817204301075,0.143655913978495
1999,1.93445022724293,1.96793294633612,-1.38535409623926,0.60329292940371,-0.299333333333333,0.22677199912223,0.161981566820276,0.177204301075269,0.183010752688172
2000,0.971216301344059,3.27808158780322,-1.5055062299425,0.592351394846584,0.633,0.204454685099846,0.176646008792839,0.143440860215054,0.144086021505376
2001,3.37701888592155,3.9499367504944,-0.802935475111008,0.374918657721895,-1.09033333333333,0.0788018433179724,0.194426157559798,0.235268817204301,0.0918279569892473
2002,1.72129780098244,4.12353241627599,-1.09664824875918,1.59500455766013,1.194,0.219936361641431,0.179427254772877,0.176989247311828,0.143655913978495
2003,3.01707787602036,4.33886262737674,-0.480063865401528,2.46267051227165,0.196333333333333,0.146247531270573,0.140432301953039,0.183655913978495,0.176989247311828
2004,2.49311225502579,4.08274164372756,-0.58263782046058,1.87586169893091,-0.967333333333333,0.139652523968431,0.178526405000265,0.190322580645161,0.228172043010753
2005,2.70303251014815,3.90375656698957,-0.833113727244464,1.57351896076491,-0.754666666666667,0.144886987052886,0.151623875356594,0.208602150537634,0.143870967741935
2006,1.55836332484528,2.71645797439563,-1.09872242537412,0.698089985233365,-0.642,0.229438226903665,0.170923853412333,0.295483870967742,0.0911827956989247
2007,1.77158192650036,2.40498934336651,-0.417606923255053,0.798997095136932,0.633333333333333,0.280283080974325,0.156758832565284,0.260860215053763,0.17010752688172
2008,1.39700016114447,1.84779435911296,-0.61964316313917,0.941082039565751,0.781,0.300095344033053,0.121658986175115,0.254623655913979,0.0980645161290323
2009,0.997109826350654,2.06994942824046,-1.00805677175522,1.30066993922898,0.083,0.221362738643845,0.157713407943823,0.19010752688172,0.175913978494624
2010,1.61946989584852,1.8582040189225,-0.952885808727958,0.154193556218436,-2.43066666666667,0.210006583278473,0.148694316436252,0.0911827956989247,0.20989247311828
2011,1.7410778703513,2.93914166902318,-0.88939556479454,2.28394106301394,0.44,0.229866140004389,0.138512179065174,0.164516129032258,0.183655913978495
2012,1.04580722407058,1.86528461472488,-0.877089721506292,0.688008473452294,0.261233333333333,0.271613962603951,0.146300121828487,0.280860215053763,0.0649462365591398
2013,1.07412336689455,2.69744823302752,-1.11442182443359,1.10478135853103,-1.60333333333333,0.203730524467852,0.0883256528417819,0.183010752688172,0.138064516129032
2014,2.42998509782332,4.15960388713413,-0.815222948789597,1.25873051719232,0.0949333333333333,0.123666886109282,0.103138029405311,0.261720430107527,0.13010752688172
2015,3.19602403419989,4.31403356864129,-0.814320243488659,1.60581309506387,1.32333333333333,0.126607417160413,0.136778582400702,0.223010752688172,0.194408602150538
2016,3.50711485986356,5.30060825671679,-0.471841950850053,3.17305697004,-0.397833333333333,0.126728110599078,0.0894538905662376,0.215698924731183,0.124086021505376
2017,3.17707980341382,4.0601809999825,0.790089377489957,3.02327073162252,0.884,0.132696949747641,0.215799868334431,0.223010752688172,0.104731182795699
2018,3.00665710899565,4.42727354647201,1.02703491557728,2.93353048779748,-0.369666666666667,0.121077463243362,0.205277594908931,0.202795698924731,0.182795698924731
2019,3.18607737703456,5.35569965839386,-0.418173481930386,4.23553356799212,0.852333333333333,0.125806451612903,0.24102479701558,0.223655913978495,0.0849462365591398
