"","pc1","total.chinook","total.sockeye","total.coho","total.pink","total.chum","se.chinook","se.sockeye","se.coho","se.pink","se.chum","pws.chinook","pws.sockeye","pws.coho","pws.pink","pws.chum","kod.chinook","kod.sockeye","kod.coho","kod.pink","kod.chum","ci.chinook","ci.sockeye","ci.coho","ci.pink","ci.chum","chi.chinook","chi.sockeye","chi.coho","chi.pink","chi.chum","spen.chinook","spen.sockeye","spen.coho","spen.pink","spen.chum","sst.3"
"1965",-1.16338639273117,-0.295430427320604,-1.68692718879206,-0.98413325535049,-0.619843090328859,-0.724697233668409,0.521057812339537,-0.482291165071601,-0.816506494771889,-0.196203950051413,-0.452388131715436,-1.62996028352694,-1.35515413742278,-0.893841790013553,-1.17438759875155,-1.06912412647525,-0.686983582095631,-1.75979167781693,-0.541053070795354,0.100879249884444,0.12755809100124,-1.87800228916298,-0.819187431721076,0.249817672291203,1.03179670094152,1.42863830102521,-1.56941960947726,-1.80086210043384,-0.852435749877428,0.266073711778263,0.564448929440188,-1.06317941203741,-2.04276718914517,-1.34006488638814,-1.44421353387816,-1.35621379554404,5.5465833346049
"1966",-1.95438128718612,-0.295430427320604,-1.25518674650841,-1.57340884968186,-2.79553470611462,-2.09968568061657,0.25870702570704,-0.792103033592634,-1.43718954305298,-2.37535875146527,-1.96334204062108,-0.850096368535303,-0.987127321004717,-0.493873673859629,-1.19408492800129,-1.12907018238654,-0.528578231524501,-0.790806227169004,-1.96029990687935,-3.94626181120299,-0.3245011205029,-0.180646245591775,-1.04505663516186,-0.570136037376242,-1.55785370493471,-0.140246674585157,0.254503378296326,-0.582501074461317,-1.15882001371934,-1.04264683801867,-0.308776663940793,-0.787741648607214,-0.909416688031562,-1.74030760717019,-2.34196954056322,-1.09783477811493,5.19741666913033
"1967",-0.790195206306248,-0.241254073886457,-1.49830272371668,-0.437870478123601,-0.485293740405264,-0.575014947038609,0.378951136246936,-0.837663602492784,-0.40956860219025,0.0411825583033411,-0.528721612997444,-0.56538414560185,-0.457869708822548,-0.153031279224112,-1.2416868070215,-1.42466625119046,-1.06058110702754,-1.06093260599413,-0.676716371303383,-0.104010143993135,0.401253804088781,-0.843124701396701,-1.58714272341973,1.04295046622186,1.1736953533183,1.21175474066255,-0.902193544740877,-2.59679868309472,-2.10039116601399,0.718713901933592,1.0978063727962,-0.833302782407697,-0.563699691670646,-0.51582616762629,-0.483965173586829,0.250373684624149,5.42470833328035
"1968",-1.35722385759544,0.151524488511147,-0.760571482532972,-2.34333827585204,-1.10364819962859,-0.522800195888679,0.5538516606686,-1.22037238125405,-2.10308791273203,-1.85524224439587,-0.75098674967153,-0.590141730204756,-0.156438221089661,-1.94767082648867,-0.759102240402879,-0.599891206066231,-1.16967158430766,-0.590070110794371,-0.789769121726741,0.250517571255709,1.09010593590461,0.607271917821183,-1.69685062223382,-1.52419432572762,-2.32217144614601,0.301970454985448,-0.348318626137317,0.208988935112074,-0.731376601725257,0.946673997700225,0.899269532682608,-0.667625932224122,0.308108386109052,-1.05740088773494,-0.520546063502689,0.707505792383343,5.19465277658569
"1969",-1.16626165693729,-0.688208989718208,-1.59051912886465,-1.44867168007887,-0.90039279868018,-0.675963465928474,-0.167613002570762,-1.35705408795451,-1.67559760133314,-0.948372437197934,-0.34686831935501,-0.350818412376636,-0.94506711341408,-0.459093837672332,-1.14484160487695,-2.87164001456629,-0.945513069348515,-1.28892918261717,-0.556706528546281,0.213683522918167,0.714927542683487,0.262312721899091,-1.88399939079903,0.161691806298909,0.157830001075446,0.786437628782545,-1.98675792023901,-0.302366969949388,-0.838984733416075,0.717073901244624,-0.202778181507264,-1.1066695852106,-0.879354340521915,-0.492072890428543,-0.285818686542587,-0.19019566560754,5.45088889069027
"1970",-1.44752707161022,0.0567158700013845,-1.69950215313042,-1.45297296178932,-1.20098177191374,-1.21203491106776,0.685027053984843,-0.596192587321982,-1.34264841649361,-1.10040649311053,-0.80935941182836,-0.379702261080029,-0.524465037507722,-0.069559672374597,-0.463642301656786,-0.380778036183605,-1.26082938039105,-2.11169943738728,-1.36198996617727,-0.808461318448627,-1.01950371778137,-1.62712287394691,-1.39031384613562,-1.46672093486308,-1.48690437874633,0.913187761462017,-1.8502213123972,-2.20994682448301,-0.873359553261752,0.187353678707771,-1.80789805835786,-2.156646623249,-1.20703392837704,-0.830557090496448,-0.407754986262121,-1.5052786132916,5.35356944219934
"1971",-1.90851194287637,0.0838040467184578,-1.91327654688252,-1.02714607245497,-1.69910064184364,-1.88734569260686,0.728752185090264,-0.40028214105133,-0.446562956061306,-0.775000268174798,-0.89242820028231,-0.548879089199908,-1.62854548676191,-1.52683480862237,-3.92216502909022,-2.28044787695845,-1.51039252704557,-2.41899917109659,-1.60374892477492,-1.36787842757505,-1.34240315457004,-1.2194438242208,-1.80010511523532,-1.85753999274195,-0.887060075517211,0.138603617309683,-2.6565601473875,-0.600287366811279,-0.679067093264443,-1.33456696065508,-0.803436248630599,-1.85428637166398,-1.88944921684598,-1.21536018109996,-2.33892113307024,-3.52924758315297,5.28090277281072
"1972",-2.18904664276248,-0.688208989718208,-2.08513439284009,-1.78417165349381,-2.29455308405869,-2.24936796724638,0.051012652956313,-1.16569969857388,-1.5029572832682,-1.52983601946014,-1.76577303024412,-0.404459845682939,-0.94506711341408,-0.820804134020225,-1.36479511483237,-2.16468997588838,-2.60428608004621,-1.43266615483604,-2.76384407142691,-2.94483612202607,-2.78776253829076,-1.76040256328044,-2.20344297852242,-1.44756313790823,-0.938659585472404,1.17795470528136,-1.79869806415501,-1.12942956422271,-0.59537187972714,-2.07748727275784,-1.03225836943949,-3.29567496826107,-2.56284580106202,-1.31631160919039,-2.53554341636798,-2.6679841917226,4.92613888283571
"1973",-2.05084383107909,-1.40604567272073,-2.71388260975802,-1.21210118600423,-2.43769069036038,-1.50443751750737,-0.987459210797314,-3.20225712841065,-0.742517787029774,-1.85257498025705,-1.37063500949019,0.280499994997541,-1.40772939691107,-2.27460128664927,-2.43829955894317,-1.00090964905896,-1.28922279228587,-2.6395610767428,-1.751587136867,-1.30111671496325,0.112181927344637,-0.345285861827318,-1.77429149198494,-0.344074033309048,-1.17730731901517,0.414637239589423,-0.201477368647071,-2.10322907038322,-0.985451357106354,-1.35752697030064,-0.174175416406154,-0.657271129087649,-2.28627220397329,-1.13459903862762,-2.17125872095588,-0.647327773366734,4.82290277928114
"1974",-1.7851393296689,-0.755929431510909,-1.11267048400702,-2.45087031861324,-1.94243457255652,-1.15633917650783,-0.200406850899825,-1.44817522575481,-2.69910805843242,-2.07662516791771,-1.69617485613405,-0.363197204678091,-0.475394795318649,-2.12157000742516,-0.816552784047953,-0.610226732947487,-1.46406643395401,-0.974194777931015,-1.33590086992573,-1.19521882599282,0.604219164355944,0.132953023428308,-0.538464278873251,-0.141001385587671,0.170729878564243,1.60608848677647,-1.51274403641085,-0.0400191577874202,-0.0304291883503468,-1.39688698683588,0.0479166420260043,-1.88949270232799,-1.72410630554293,-3.68332568194595,-2.50658354518459,-1.77359528523721,5.12169444925255
"1975",-1.25586338274386,1.2350515571942,-0.651588458267198,-1.65943448389082,-1.19525626766167,-1.4104509654375,1.42835428277692,-0.263600434350874,-1.5276201858489,-1.75121894298198,-1.53677258639809,0.148459543782026,-0.577040296996019,-1.14773459418082,-1.09395683764845,-0.750789898532567,-0.355228979956093,-1.00393346183837,-1.33416159684229,0.128504786137599,0.238266469328782,0.540632073154417,-0.225474096962456,-0.301926880008388,0.164279939819844,0.676587513793667,-0.600782542524056,0.97824607924801,-0.300944074961986,-0.12424645219626,0.113534750199141,-1.59748725387943,-1.96460508562009,-3.07999244112316,-0.0815753845123691,-0.610889706806218,5.12326389087571
"1976",-1.2621147776225,0.584935315984367,-0.601288600913761,-1.50028706060424,-0.960510593326892,-1.56709521888729,1.00203425449912,-0.892336285172964,-1.2851016438053,-0.646971589511561,-1.51432156249162,-0.594267994305242,-1.52689998508454,-0.977313396863068,-0.803421231214793,-1.05258728346524,-0.697444312793725,-0.421550901986035,-1.21067320791832,-0.442422963094301,-0.859591615752695,0.129033032565556,0.132689925636493,-0.432199899301346,0.557726203228189,1.04557123337169,-0.876431920619782,0.546928489761389,-0.756784077263367,0.179153675262928,0.439942775470645,-0.680051695987891,-1.15592793761065,-1.90420521983465,-0.406230782515628,-0.786454936597793,5.43451388875643
"1977",-0.751298658258684,-0.254798162244988,-1.19650357959607,-0.46367816838629,-0.319254117095299,-0.783873951638329,0.400813701799641,-0.281824661910937,-0.220486349071507,-0.150860459691515,-0.910389019407489,-2.10448065508269,-2.00358233777841,-0.139119344749191,-1.11857849921063,-0.765259636166326,-1.52981959834203,-0.991542343543639,-0.789769121726741,0.432385684922323,0.610369629818585,0.0427932335850323,-1.31609967929079,-0.198474776452214,0.699624855604968,0.270987089219356,-0.175715744525974,-0.240114946724513,-0.659637847264712,0.5251938206353,0.651939740337705,0.044784523565248,-0.260069981823234,-0.170215984399061,0.486952612929957,0.694255586361339,5.41498611039585
"1978",-0.384758353573241,-0.823649873303598,-0.412664135838381,-0.386255097598228,-0.276312835204791,-0.230397589449067,-0.419032506426911,-0.199815637890661,-0.734296819502873,-0.913698003393305,-1.55922361030456,-0.532374032797971,-2.87282662798488,-0.125207410274273,0.0780342527110509,0.46053385195063,-0.888726245558864,-0.956847212318393,0.0102964966539422,0.149223938327468,0.908667204756689,-0.0669665105719952,-0.602998336999187,0.20767051899054,1.26076952636769,1.40328827448931,-0.021145999799399,-0.626966805336226,0.371606748105625,0.995874018369283,1.26101038543195,0.806898034409691,1.23402868940611,0.743097523854341,0.59364687518455,1.081824112505,5.67063888510068
"1979",-0.136715210433091,-0.105813190301079,-0.261764563778079,-0.536799957463903,-0.0873711948865547,-0.112044153509226,-0.342513526992426,-0.272712548130903,-0.952152458965772,-0.593626306735213,-1.12142864412834,0.953081043376569,-0.857441680933591,-0.0243458853311103,0.00745215623281738,0.150468045512953,-0.990344772340344,-0.223293009270347,0.00160013123676104,0.575117622230299,0.822560688279711,0.77975151578223,-0.686892612562904,0.196175840817634,1.08017124152452,1.81170536867872,0.72336493730027,0.84484888662328,0.494160453642389,0.600633852327853,0.969935187638294,0.690924239281188,0.611738095956464,0.606516179967291,0.714058971157589,1.44289222660466,5.63362499740389
"1980",0.119356558408866,0.286965372096537,0.333450414904233,-0.257216646284788,-0.0472926651220796,-0.474066428148743,-0.331582244216078,0.365135416471216,-0.573987952728288,-0.281556402493571,-1.24715437800459,1.15939424840081,0.737341190211348,0.222590951598706,0.273366101104301,-0.0707122297459254,-0.243149722476519,-0.295161495379784,-0.0992777076025422,0.0594409455047094,0.619595328012547,0.748391588880222,0.410186375578022,1.11191853525932,1.41556805623327,1.53848841601408,0.774888185542462,0.480229893449022,0.22364556703075,0.643273870241038,0.317119137095286,1.5835082696452,0.66885655622479,0.335728819912967,0.41836344433772,1.02551073691148,5.83056944641802
"1981",0.4237389979611,-0.715297166435293,0.475966677405631,0.689065330013761,-0.00148863110553721,-0.0667913691792864,-0.670452010283049,0.451700497381504,0.0919104169507625,0.00117359622108026,-0.0258186774924439,0.622979915337783,-0.903006905823446,0.91818767534466,0.268441768791866,0.0884548842254163,-0.117620954099397,-0.270379258790323,0.688612999194088,-0.184584624731506,-0.0661815710719619,-0.431525660807842,1.02003322486813,1.99317719518227,0.112680429864651,0.901921083001618,0.506967294683065,0.827062594273318,1.09796163701864,0.439913784808932,-0.359252131766284,0.630866381089643,0.78309347676144,0.57088626417067,0.610413116395986,0.985760118845464,5.83300000561608
"1982",0.165050195474554,-0.796561696586513,0.270575593212438,0.0567769185779144,-0.0301161523658755,-0.320903158108946,-0.998390493573672,-0.0403536467401343,-0.00674119337205988,0.507953782596394,-0.243593609385235,0.78390421525669,-0.145923169192002,-0.0139119344749206,-0.000755064287907255,0.117394359492933,-0.0757780313070226,0.222787249339951,0.0972601508257569,-0.74860598990012,-0.613572997247041,1.00711098582179,-0.0867258719916915,1.21537063881549,-0.303340619149092,0.93853778799791,-0.417875011264276,1.55630058062183,0.0667170416483073,-0.271846514203433,-1.10460653998936,0.336789972013798,0.653825382469968,0.212211778484678,0.035788303967682,0.690943034855837,5.81287500593397
"1983",0.501113151949402,-0.146445455376683,0.379558617478216,0.276142285810761,0.164550992204428,0.0828909174505145,-0.539276616966796,0.807072934802683,-0.0889508686410767,0.0198444451928015,-0.218897483088114,0.734389046050874,0.0538628168635194,0.792980265070387,0.307836427291345,0.369581215395579,-0.156475096692316,0.160831657866297,0.380761663425868,0.107785633947733,0.68109998263896,1.806789121823,0.748990180739189,1.01229799109411,0.0868806748870551,1.4652550060215,0.112814445630299,-0.489123039624007,0.44035638779698,-0.0406064170588631,0.391149823239338,0.181467924966697,0.551613400937176,0.671837692261098,0.97012520056861,1.0652613549775,5.91115278237396
"1984",0.639375321301116,0.300509460455068,0.559799772994687,0.882623006983922,0.47372822181609,-0.275650373779007,-0.123887871465351,0.301350620011002,0.498848309532405,0.886705290308473,-0.423201800637021,0.730262781950387,-0.103862961601364,1.65204221889664,0.416171738164914,0.491540432594399,-0.123598514498307,0.753127112354415,0.54251406018544,-0.283576129638651,0.00147354901709091,1.83030906699951,0.965179275461078,1.58703189973952,0.0868806748870551,0.392103882668628,-0.0391791366841664,0.626966805336226,0.797555602715111,-0.768766722960914,0.152232608865351,0.628795420462348,-0.178901643547193,0.367795744129927,0.334532238280541,0.720755998405351,6.07615278032091
"1985",0.795124802663201,-0.363150869113293,1.04184007263177,0.968648641192879,0.270472820867682,0.187320419750376,-0.932802796915545,0.210229482210701,1.00443781243687,0.748007555089964,-0.169505230493873,0.226858561691239,0.355294304596407,0.326930460160596,-0.146843589556808,0.441929903564371,0.901553093914859,0.13357119761789,0.147699070245409,0.192964370728299,0.985548023039707,1.35599017260663,1.88801630666198,1.85907261649834,1.09629608838551,1.25682145450414,1.09433232464405,0.902654336760662,0.477720322411848,0.226713695243017,0.694002630192279,0.796543231273216,0.0405534932732125,0.529318029074611,0.270515680927786,1.19113831218655,5.99520833260483
"1986",-0.187342069010467,-0.308974515679146,0.631057904245388,-0.192697420628066,-0.353607142607707,-1.15633917650783,-0.309719678663363,0.324130904461078,-0.40956860219025,-0.991048663419013,-0.739761237718293,0.239237353992693,-0.888986836626566,-1.00861524943163,0.52778993724677,-0.107920126518446,-2.57290388795192,0.574695008910298,0.248576909084712,-0.649614484992975,-4.71593346082882,1.2540704101751,1.4588648201245,1.00846643170314,-1.93517512148206,-1.20494778909273,0.285417327241641,-0.773703717223429,0.642121634717263,-0.46044659343482,-3.03445192651727,0.392705908950755,0.0615971365299655,0.504377088016976,-0.526642878488667,0.250373684624149,6.14558333158493
"1987",0.0609918892325419,0.937081613306355,0.530458189538518,0.129898707655527,-0.284901091582893,-0.682925432748464,0.75061475064297,1.06676817753355,-1.10012987445001,-0.892359890282765,-0.623015913404631,-0.416838637984394,-0.272103791963907,0.504307624715815,-0.120580483890489,-0.138926707162215,0.787979446335558,-0.223293009270347,0.591213706521657,0.40245802064807,-0.219943207637998,0.411272374683631,1.00712641324294,1.34564365810845,0.167504909192042,-0.0332132292113797,1.43696192545462,-0.0489123039624011,1.22798812947838,1.31895415409609,0.700732692569012,1.15689038042249,0.834199467527835,0.922434766697336,0.640897191325868,0.568378629152285,6.09906944135825
"1988",0.505487587975531,0.801640729720977,0.899323810130373,0.254635877258517,0.559610785597105,-0.383560859488865,0.630370640103074,1.09866057576365,0.227556381144645,1.04140661035988,-0.225632790260056,0.416666710313542,-0.629615556484312,0.323452476541869,0.316043647812071,-1.04638596733649,0.897069923615677,1.28842342268677,-3.00386375694111,-0.35494209829264,0.54886497519217,0.129033032565556,0.577974926705456,0.541016186004878,0.135255215470047,-0.238830111113634,0.202980130054134,1.09385697952277,0.129488451801284,-2.01680724726601,0.677177474250449,0.502466822197373,0.692906434232505,0.854737926683756,0.663760247523282,0.926134191746436,6.0520555516084
